®É¶¡,x,y,z,roll,pitch,»~®t­È
15:00:40,0.02,0.09,-0.85,-175.87,1.12,0.36
15:00:41,-0.02,0.05,-1.16,-176.88,-0.11,0.31
15:00:43,0.04,0.05,-0.92,-176.98,0.96,0.24
15:00:43,0.02,0.05,-1.19,-177.39,0.95,0.27
15:00:43,0.01,0.05,-1.24,-177.63,0.63,0.05
15:00:44,-0.01,0.09,-0.89,-176.15,0.03,0.35
15:00:47,0.01,0.04,-1,-177.06,0.24,0.11
15:00:47,-0.01,0.06,-1.19,-177.12,-0.09,0.19
15:00:48,0.03,0.05,-0.91,-176.86,0.73,0.28
15:00:49,0.01,0.04,-1.13,-177.57,0.66,0.22
15:00:49,0,0.01,-0.98,-178.39,0.11,0.15
15:00:49,0,0.04,-1.2,-178.25,0.05,0.22
15:00:50,0.02,0.09,-0.89,-176.49,0.69,0.31
15:00:50,0.03,0.05,-0.84,-176.62,1.22,0.05
15:00:52,-0.01,0.03,-1.21,-178.12,0.05,0.37
15:00:51,0.01,0.04,-1.16,-177.42,0.76,0.05
15:00:52,0.02,0.07,-0.83,-175.77,0.91,0.33
15:00:53,0,0,-1.1,-178.17,0.42,0.27
15:00:54,0.02,0.04,-0.87,-177.24,0.46,0.23
15:00:54,0.01,0.04,-1.25,-177.88,0.4,0.38
15:00:55,0.04,0.04,-0.88,-177.81,1.35,0.37
15:00:56,0.04,0.11,-1.04,-175.96,1.65,0.16
15:00:57,-0.01,0.09,-0.82,-174.98,0.67,0.22
15:00:57,0.02,0.04,-1.01,-176.56,0.78,0.19
15:00:57,-0.02,0.05,-1.17,-177.08,-0.07,0.16
15:00:58,0,0.09,-0.87,-175.85,-0.15,0.3
15:00:58,0,0.05,-1.12,-176.79,-0.18,0.25
15:01:01,0,0,-1,-180,0,0.12
15:01:01,0.04,-0.05,-1.25,178.34,1.15,0.25
15:01:02,0,-0.02,-1.36,178.95,0.45,0.11
15:01:02,0.03,-0.02,-1.01,178.55,1.6,0.35
15:01:03,0.02,-0.04,-1,177.91,1.03,0.01
15:01:03,0.04,-0.08,-1.16,177.01,1.49,0.16
15:01:07,0.06,-0.05,-1,176.94,2.36,0.16
15:01:07,0.04,-0.03,-1.37,177.87,1.89,0.37
15:01:08,0.05,-0.06,-1.37,177.51,2.05,0
15:01:09,0.04,-0.04,-1.25,177.77,1.92,0.12
15:01:09,0.06,-0.05,-0.97,177.34,2.58,0.28
15:01:10,0.04,-0.06,-1.33,177.73,1.97,0.36
15:01:10,0.08,-0.05,-1.14,177.59,2.92,0.19
15:01:11,0.08,-0.04,-1.13,178.37,3.39,0.01
15:01:11,0.07,-0.07,-0.97,177.24,3.63,0.16
15:01:14,0.05,-0.04,-1.09,177.49,3.25,0.12
15:01:15,0.05,-0.04,-1.14,177.7,2.8,0.05
15:01:15,0.04,-0.03,-1.34,178.22,2.28,0.2
15:01:16,0.06,-0.04,-1.02,178.41,2.92,0.32
15:01:16,0.05,0,-1.06,178.94,2.59,0.04
15:01:19,0.05,-0.04,-1.31,177.83,2.28,0.25
15:01:19,0.04,-0.05,-1.03,177.43,2.33,0.28
15:01:19,0.03,-0.05,-1.3,177.72,2.13,0.27
15:01:21,0.07,-0.05,-1.09,177.53,2.97,0.21
15:01:21,0.04,-0.07,-1.36,177.35,2.17,0.27
15:01:21,0.08,-0.04,-1.01,177.45,3.17,0.35
15:01:22,0.04,-0.02,-1.32,178,1.28,0.31
15:01:22,0.11,0,-1.01,178.9,3.4,0.31
15:01:24,0.04,-0.01,-0.98,179.1,2.77,0.03
15:01:24,0.02,-0.07,-1.22,177.81,1.67,0.24
15:01:24,0.02,-0.07,-1.36,177.31,1.3,0.14
15:01:25,0.05,-0.05,-1.29,177.52,1.79,0.07
15:01:25,0.04,0,-1.05,178.64,1.94,0.24
15:01:28,0.04,-0.01,-1.36,179.2,1.78,0.31
15:01:28,0.06,-0.04,-1.19,178.58,2.38,0.17
15:01:28,0.05,-0.02,-0.99,178.81,2.53,0.2
15:01:28,0.05,-0.02,-1.1,178.79,2.49,0.11
15:01:29,0.04,-0.02,-1.29,178.88,2.18,0.19
15:01:29,0.06,-0.06,-1.36,178.08,2.33,0.07
15:01:29,0.04,-0.01,-1.15,178.71,2.06,0.21
15:01:30,0.05,-0.03,-0.98,178.57,2.36,0.17
15:01:30,0.05,-0.02,-1.09,178.6,2.49,0.11
15:01:31,0.04,-0.05,-0.96,177.87,2.41,0.13
15:01:31,0.04,-0.05,-1.32,177.83,1.92,0.36
15:01:30,0.05,-0.05,-1.36,178.08,2.33,0.04
15:01:32,0.08,-0.02,-1,178.21,3.18,0.36
15:01:32,0.05,-0.02,-1.34,178.64,2.54,0.34
15:01:33,0.06,-0.04,-0.98,179.03,2.78,0.36
15:01:34,0.03,-0.04,-1.38,178.66,1.85,0.4
15:01:35,0.04,-0.04,-1.34,178.4,1.84,0.04
15:01:35,0.08,-0.01,-1.07,178.94,3,0.27
15:01:36,-0.01,-0.05,-1.21,178.26,1.29,0.14
15:01:36,0.05,-0.02,-1.04,178.62,1.8,0.17
15:01:37,0.04,-0.06,-1.15,177.76,1.77,0.11
15:01:37,0.05,-0.05,-1.34,177.8,1.98,0.19
15:01:37,0.04,0,-1.1,178.92,2.1,0.24
15:01:38,0.05,-0.03,-0.98,178.58,2.6,0.12
15:01:38,0.04,-0.06,-1.17,177.73,2.34,0.19
15:01:38,0.04,-0.02,-1.12,178.26,2.07,0.05
15:01:39,0.05,-0.02,-0.95,178.52,2.52,0.17
15:01:39,0.06,-0.04,-1.34,177.64,2.49,0.39
15:01:40,0.03,-0.03,-1.39,178.21,1.85,0.05
15:01:40,0.02,-0.01,-1.11,178.76,1.46,0.28
15:01:40,0.05,0.03,-1.3,-179.97,1.87,0.19
15:01:40,0.02,-0.06,-1.39,178.66,1.39,0.09
15:01:41,0.07,-0.02,-1.19,178.85,2.33,0.2
15:01:41,0.06,-0.03,-1,178.57,2.79,0.19
15:01:41,0.06,-0.03,-1.08,178.46,3.05,0.08
15:01:42,0.03,-0.04,-1.3,178.36,2.05,0.22
15:01:42,0.03,-0.04,-1.11,178,1.17,0.19
15:01:43,0,-0.08,-1.28,177.14,0.65,0.17
15:01:45,0.02,-0.07,-1.26,177.06,0.77,0.02
15:01:45,0.04,-0.04,-1.36,177.82,1.23,0.1
15:01:46,0.02,-0.06,-1.28,177.6,0.97,0.08
15:01:46,0.03,0,-0.98,178.74,1.24,0.3
15:01:46,0.06,-0.03,-1.03,178.61,2.2,0.05
15:01:47,0.05,-0.02,-0.97,178.61,2.47,0.06
15:01:49,0.06,0,-1.34,179.49,2.58,0.37
15:01:50,0.04,-0.03,-1.12,178.55,2.48,0.22
15:01:50,0.04,-0.02,-1.31,178.96,1.98,0.19
15:01:51,0.04,-0.06,-1.11,178.02,1.9,0.2
15:01:51,0.03,-0.03,-1.38,178.32,1.37,0.27
15:01:52,0.06,-0.02,-1.19,178.67,2.06,0.19
15:01:52,0.05,-0.03,-0.96,178.54,2.58,0.23
15:01:53,0.07,-0.06,-1.22,177.58,2.87,0.26
15:01:53,0.07,-0.04,-1.03,177.8,3.26,0.19
15:01:58,0.05,0.01,-0.96,179.15,3.05,0.07
15:01:58,0.02,-0.07,-1.16,177.76,2.04,0.2
15:01:59,0.03,-0.03,-1.31,178.33,1.67,0.15
15:01:59,0.03,-0.04,-1.11,177.63,2.11,0.2
15:01:59,0.04,-0.04,-1.29,177.88,2,0.18
15:02:00,0.03,-0.05,-1.38,177.88,1.54,0.09
15:02:00,0.04,-0.03,-1.22,178.29,1.59,0.16
15:02:00,0.06,-0.03,-0.96,178.32,2.42,0.26
15:02:01,0.04,-0.03,-1.28,178.57,1.96,0.32
15:02:01,0.04,-0.01,-0.99,178.91,2.1,0.29
15:02:02,0.04,-0.05,-1.22,177.78,2.21,0.23
15:02:02,0.04,-0.04,-1.31,178.51,1.53,0.09
15:02:03,0.04,-0.06,-1.17,177.85,1.71,0.14
15:02:04,0.06,-0.03,-0.98,177.99,2.47,0.19
15:02:04,0.02,-0.05,-1.16,177.64,1.8,0.18
15:02:05,0.04,-0.04,-1.33,178,1.74,0.17
15:02:05,0.02,-0.05,-1.11,177.63,1.49,0.22
15:02:05,0.04,-0.04,-1.29,177.88,1.72,0.18
15:02:06,0.03,-0.03,-1.37,178.31,1.41,0.08
15:02:08,0.02,-0.09,-1.23,177.09,1.08,0.14
15:02:08,0.02,0,-1.37,178.52,1.03,0.14
15:02:08,0.04,-0.04,-1.3,178.49,1.28,0.07
15:02:09,0.03,-0.03,-1.35,178.37,1.4,0.05
15:02:10,0.04,-0.01,-1.08,178.83,1.8,0.27
15:02:10,0.05,-0.05,-1,178.03,2.41,0.08
15:02:10,0.03,-0.07,-1.14,177.14,1.98,0.14
15:02:11,0.03,-0.03,-1.34,177.97,1.54,0.2
15:02:11,0.02,-0.03,-1.01,178.19,1.24,0.33
15:02:11,0.02,0,-1.25,179.24,1.15,0.24
15:02:12,0.02,0.02,-1.36,180,1.06,0.11
15:02:12,0.04,-0.01,-1.17,179.82,1.38,0.19
15:02:13,0.07,-0.04,-1.36,179.05,2.12,0.19
15:02:13,0.01,-0.05,-1,178.59,0.9,0.36
15:02:14,0.06,0.03,-1.27,-179.63,2.09,0.27
15:02:15,0.03,0.01,-1.23,180,1.3,0.04
15:02:15,0.07,-0.02,-0.97,179.5,2.44,0.26
15:02:15,0.01,0,-1.22,179.66,1.36,0.25
15:02:16,0.03,-0.01,-1,179.61,1.56,0.22
15:02:16,0.03,-0.03,-1.28,179.16,1.38,0.28
15:02:17,0,-0.02,-1.38,179.18,0.55,0.1
15:02:17,0.03,0,-1.18,179.57,0.92,0.2
15:02:17,0.04,-0.04,-1.27,178.81,1.44,0.09
15:02:17,-0.01,-0.02,-1.41,179.1,0.51,0.14
15:02:18,0.04,-0.05,-1,178.21,1.73,0.41
